Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Company Size,Year
Research Scientist,Full-Time,Entry,Junior,120000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Executive,Director,126500,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Executive,Director,78000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,157750,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,104650,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,176000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,133000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Mid,Intermediate,120000,United States Dollar,United States,Medium,2023
Machine Learning Specialist,Full-Time,Mid,Intermediate,70000,United States Dollar,France,Medium,2023
Machine Learning Specialist,Full-Time,Mid,Intermediate,40000,United States Dollar,France,Medium,2023
Research Scientist,Full-Time,Mid,Intermediate,158080,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,182000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,150000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,171250,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,113750,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,252000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,129000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,231000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,200800,United States Dollar,United States,Medium,2023
Research Scientist,Full-Time,Entry,Junior,250800,United States Dollar,United States,Medium,2023
Research Scientist,Full-Time,Entry,Junior,167200,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,159100,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,120160,United States Dollar,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,140000,United States Dollar,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,110000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Mid,Intermediate,165000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Mid,Intermediate,149094,United States Dollar,United States,Medium,2023
Head of Data,Full-Time,Executive,Director,290000,United States Dollar,United States,Large,2023
Business Intelligence Engineer,Full-Time,Senior,Expert,247500,United States Dollar,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Senior,Expert,172200,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,175000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,130000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,85000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,72250,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,162500,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,130000,United States Dollar,United States,Medium,2023
Data Quality Engineer,Full-Time,Entry,Junior,22000,Euro,Portugal,Large,2023
Research Analyst,Full-Time,Senior,Expert,83000,United States Dollar,United States,Medium,2023
Research Analyst,Full-Time,Senior,Expert,63967,United States Dollar,United States,Medium,2023
Research Analyst,Full-Time,Senior,Expert,188600,United States Dollar,United States,Medium,2023
Research Analyst,Full-Time,Senior,Expert,111550,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,219300,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,143000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,232200,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,133300,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,80000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,189000,Euro,Germany,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,130000,Euro,Germany,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,198900,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,183310,United States Dollar,United States,Medium,2023
Research Analyst,Full-Time,Entry,Junior,35000,British Pound Sterling,United Kingdom,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,392000,United States Dollar,United States,Medium,2023
